"3" ,10 ,"LOGAN 01" ,"Race Statistics" ,"" ,"NP" ,"Number of Precincts" ,"" ,"NP" ,1 ,
"3" ,10 ,"LOGAN 01" ,"Race Statistics" ,"" ,"NP" ,"Number of Precincts" ,"" ,"NP" ,1 ,
"3" ,10 ,"LOGAN 01" ,"Race Statistics" ,"" ,"NP" ,"Number of Precincts" ,"" ,"NP" ,1 ,
"3" ,10 ,"LOGAN 01" ,"Race Statistics" ,"" ,"NP" ,"Number of Precincts Reporting" ,"" ,"NP" ,1 ,
"3" ,10 ,"LOGAN 01" ,"Race Statistics" ,"" ,"NP" ,"Number of Precincts Reporting" ,"" ,"NP" ,1 ,
"3" ,10 ,"LOGAN 01" ,"Race Statistics" ,"" ,"NP" ,"Number of Precincts Reporting" ,"" ,"NP" ,1 ,
"3" ,10 ,"LOGAN 01" ,"STRAIGHT PARTY" ,"300010" ,"NP" ,"Number of Precincts for Race" ,"" ,"NP" ,1 ,
"3" ,10 ,"LOGAN 01" ,"STRAIGHT PARTY" ,"300010" ,"NP" ,"Number of Precincts for Race" ,"" ,"NP" ,1 ,
"3" ,10 ,"LOGAN 01" ,"STRAIGHT PARTY" ,"300010" ,"NP" ,"Number of Precincts for Race" ,"" ,"NP" ,1 ,
"3" ,10 ,"LOGAN 01" ,"STRAIGHT PARTY" ,"300010" ,"NP" ,"Number of Precincts Reporting" ,"" ,"NP" ,1 ,
"3" ,10 ,"LOGAN 01" ,"STRAIGHT PARTY" ,"300010" ,"NP" ,"Number of Precincts Reporting" ,"" ,"NP" ,1 ,
"3" ,10 ,"LOGAN 01" ,"STRAIGHT PARTY" ,"300010" ,"NP" ,"Number of Precincts Reporting" ,"" ,"NP" ,1 ,
"3" ,10 ,"LOGAN 01" ,"STRAIGHT PARTY" ,"300010" ,"NP" ,"Registered Voters" ,"" ,"NP" ,0 ,
"3" ,10 ,"LOGAN 01" ,"STRAIGHT PARTY" ,"300010" ,"NP" ,"Registered Voters" ,"" ,"NP" ,0 ,
"3" ,10 ,"LOGAN 01" ,"STRAIGHT PARTY" ,"300010" ,"NP" ,"Registered Voters" ,"" ,"NP" ,0 ,
"3" ,10 ,"LOGAN 01" ,"STRAIGHT PARTY" ,"300010" ,"NP" ,"LIBERTARIAN" ,"" ,"LIB" ,1 ,
"3" ,10 ,"LOGAN 01" ,"STRAIGHT PARTY" ,"300010" ,"NP" ,"LIBERTARIAN" ,"" ,"LIB" ,0 ,
"3" ,10 ,"LOGAN 01" ,"STRAIGHT PARTY" ,"300010" ,"NP" ,"LIBERTARIAN" ,"" ,"LIB" ,0 ,
"3" ,10 ,"LOGAN 01" ,"STRAIGHT PARTY" ,"300010" ,"NP" ,"INDEPENDENT AMERICAN" ,"" ,"IAP" ,2 ,
"3" ,10 ,"LOGAN 01" ,"STRAIGHT PARTY" ,"300010" ,"NP" ,"INDEPENDENT AMERICAN" ,"" ,"IAP" ,0 ,
"3" ,10 ,"LOGAN 01" ,"STRAIGHT PARTY" ,"300010" ,"NP" ,"INDEPENDENT AMERICAN" ,"" ,"IAP" ,0 ,
"3" ,10 ,"LOGAN 01" ,"STRAIGHT PARTY" ,"300010" ,"NP" ,"REPUBLICAN" ,"" ,"REP" ,15 ,
"3" ,10 ,"LOGAN 01" ,"STRAIGHT PARTY" ,"300010" ,"NP" ,"REPUBLICAN" ,"" ,"REP" ,0 ,
"3" ,10 ,"LOGAN 01" ,"STRAIGHT PARTY" ,"300010" ,"NP" ,"REPUBLICAN" ,"" ,"REP" ,0 ,
"3" ,10 ,"LOGAN 01" ,"STRAIGHT PARTY" ,"300010" ,"NP" ,"CONSTITUTION" ,"" ,"CON" ,0 ,
"3" ,10 ,"LOGAN 01" ,"STRAIGHT PARTY" ,"300010" ,"NP" ,"CONSTITUTION" ,"" ,"CON" ,0 ,
"3" ,10 ,"LOGAN 01" ,"STRAIGHT PARTY" ,"300010" ,"NP" ,"CONSTITUTION" ,"" ,"CON" ,0 ,
"3" ,10 ,"LOGAN 01" ,"STRAIGHT PARTY" ,"300010" ,"NP" ,"DEMOCRATIC" ,"" ,"DEM" ,9 ,
"3" ,10 ,"LOGAN 01" ,"STRAIGHT PARTY" ,"300010" ,"NP" ,"DEMOCRATIC" ,"" ,"DEM" ,0 ,
"3" ,10 ,"LOGAN 01" ,"STRAIGHT PARTY" ,"300010" ,"NP" ,"DEMOCRATIC" ,"" ,"DEM" ,0 ,
"3" ,10 ,"LOGAN 01" ,"US CONGRESS D1" ,"300000" ,"NP" ,"Number of Precincts for Race" ,"" ,"NP" ,1 ,
"3" ,10 ,"LOGAN 01" ,"US CONGRESS D1" ,"300000" ,"NP" ,"Number of Precincts for Race" ,"" ,"NP" ,1 ,
"3" ,10 ,"LOGAN 01" ,"US CONGRESS D1" ,"300000" ,"NP" ,"Number of Precincts for Race" ,"" ,"NP" ,1 ,
"3" ,10 ,"LOGAN 01" ,"US CONGRESS D1" ,"300000" ,"NP" ,"Number of Precincts Reporting" ,"" ,"NP" ,1 ,
"3" ,10 ,"LOGAN 01" ,"US CONGRESS D1" ,"300000" ,"NP" ,"Number of Precincts Reporting" ,"" ,"NP" ,1 ,
"3" ,10 ,"LOGAN 01" ,"US CONGRESS D1" ,"300000" ,"NP" ,"Number of Precincts Reporting" ,"" ,"NP" ,1 ,
"3" ,10 ,"LOGAN 01" ,"US CONGRESS D1" ,"300000" ,"NP" ,"Registered Voters" ,"" ,"NP" ,0 ,
"3" ,10 ,"LOGAN 01" ,"US CONGRESS D1" ,"300000" ,"NP" ,"Registered Voters" ,"" ,"NP" ,0 ,
"3" ,10 ,"LOGAN 01" ,"US CONGRESS D1" ,"300000" ,"NP" ,"Registered Voters" ,"" ,"NP" ,0 ,
"3" ,10 ,"LOGAN 01" ,"US CONGRESS D1" ,"300000" ,"NP" ,"DONNA McALEER" ,"300003" ,"DEM" ,61 ,
"3" ,10 ,"LOGAN 01" ,"US CONGRESS D1" ,"300000" ,"NP" ,"DONNA McALEER" ,"300003" ,"DEM" ,0 ,
