"5" ,999999 ,"Election Total" ,"Race Statistics" ,"" ,"NP" ,"Number of Precincts" ,"" ,"NP" ,7 ,
"5" ,999999 ,"Election Total" ,"Race Statistics" ,"" ,"NP" ,"Number of Precincts Reporting" ,"" ,"NP" ,7 ,
"5" ,999999 ,"Election Total" ,"STRAIGHT PARTY" ,"" ,"NP" ,"Number of Precincts for Race" ,"" ,"NP" ,7 ,
"5" ,999999 ,"Election Total" ,"STRAIGHT PARTY" ,"" ,"NP" ,"Number of Precincts Reporting" ,"" ,"NP" ,7 ,
"5" ,999999 ,"Election Total" ,"STRAIGHT PARTY" ,"" ,"NP" ,"Registered Voters" ,"" ,"NP" ,0 ,
"5" ,999999 ,"Election Total" ,"STRAIGHT PARTY" ,"" ,"NP" ,"LIBERTARIAN" ,"" ,"LIB" ,0 ,
"5" ,999999 ,"Election Total" ,"STRAIGHT PARTY" ,"" ,"NP" ,"INDEPENDENT AMERICAN" ,"" ,"IAP" ,9 ,
"5" ,999999 ,"Election Total" ,"STRAIGHT PARTY" ,"" ,"NP" ,"REPUBLICAN" ,"" ,"REP" ,74 ,
"5" ,999999 ,"Election Total" ,"STRAIGHT PARTY" ,"" ,"NP" ,"CONSTITUTION" ,"" ,"CON" ,0 ,
"5" ,999999 ,"Election Total" ,"STRAIGHT PARTY" ,"" ,"NP" ,"DEMOCRATIC" ,"" ,"DEM" ,10 ,
"5" ,999999 ,"Election Total" ,"US CONGRESS D1" ,"300000" ,"NP" ,"Number of Precincts for Race" ,"" ,"NP" ,7 ,
"5" ,999999 ,"Election Total" ,"US CONGRESS D1" ,"300000" ,"NP" ,"Number of Precincts Reporting" ,"" ,"NP" ,7 ,
"5" ,999999 ,"Election Total" ,"US CONGRESS D1" ,"300000" ,"NP" ,"Registered Voters" ,"" ,"NP" ,0 ,
"5" ,999999 ,"Election Total" ,"US CONGRESS D1" ,"300000" ,"NP" ,"MCALEER, DONNA" ,"300003" ,"DEM" ,101 ,
"5" ,999999 ,"Election Total" ,"US CONGRESS D1" ,"300000" ,"NP" ,"VANCE, DWAYNE A" ,"300004" ,"IAP" ,22 ,
"5" ,999999 ,"Election Total" ,"US CONGRESS D1" ,"300000" ,"NP" ,"BISHOP, ROB" ,"300001" ,"REP" ,294 ,
"5" ,999999 ,"Election Total" ,"US CONGRESS D1" ,"300000" ,"NP" ,"BOWDEN, CRAIG" ,"300002" ,"LIB" ,27 ,
"5" ,999999 ,"Election Total" ,"STATE ATTORNEY GENERAL" ,"300200" ,"NP" ,"Number of Precincts for Race" ,"" ,"NP" ,7 ,
"5" ,999999 ,"Election Total" ,"STATE ATTORNEY GENERAL" ,"300200" ,"NP" ,"Number of Precincts Reporting" ,"" ,"NP" ,7 ,
"5" ,999999 ,"Election Total" ,"STATE ATTORNEY GENERAL" ,"300200" ,"NP" ,"Registered Voters" ,"" ,"NP" ,0 ,
"5" ,999999 ,"Election Total" ,"STATE ATTORNEY GENERAL" ,"300200" ,"NP" ,"McCULLOUGH, W. ANDRE" ,"300203" ,"LIB" ,27 ,
"5" ,999999 ,"Election Total" ,"STATE ATTORNEY GENERAL" ,"300200" ,"NP" ,"HANSEN, GREGORY G" ,"300202" ,"CON" ,19 ,
"5" ,999999 ,"Election Total" ,"STATE ATTORNEY GENERAL" ,"300200" ,"NP" ,"STORMONT, CHARLES A." ,"300205" ,"DEM" ,70 ,
"5" ,999999 ,"Election Total" ,"STATE ATTORNEY GENERAL" ,"300200" ,"NP" ,"REYES, SEAN D." ,"300204" ,"REP" ,306 ,
"5" ,999999 ,"Election Total" ,"STATE ATTORNEY GENERAL" ,"300200" ,"NP" ,"CURTIS, LESIE D. " ,"300201" ,"IAP" ,23 ,
"5" ,999999 ,"Election Total" ,"STATE SENATOR D26" ,"300850" ,"NP" ,"Number of Precincts for Race" ,"" ,"NP" ,7 ,
"5" ,999999 ,"Election Total" ,"STATE SENATOR D26" ,"300850" ,"NP" ,"Number of Precincts Reporting" ,"" ,"NP" ,7 ,
"5" ,999999 ,"Election Total" ,"STATE SENATOR D26" ,"300850" ,"NP" ,"Registered Voters" ,"" ,"NP" ,0 ,
"5" ,999999 ,"Election Total" ,"STATE SENATOR D26" ,"300850" ,"NP" ,"STEVENS, WAYNE" ,"300851" ,"DEM" ,115 ,
"5" ,999999 ,"Election Total" ,"STATE SENATOR D26" ,"300850" ,"NP" ,"VANTASSELL, KEVIN T" ,"300852" ,"REP" ,319 ,
"5" ,999999 ,"Election Total" ,"STATE REP D53" ,"303550" ,"NP" ,"Number of Precincts for Race" ,"" ,"NP" ,7 ,
"5" ,999999 ,"Election Total" ,"STATE REP D53" ,"303550" ,"NP" ,"Number of Precincts Reporting" ,"" ,"NP" ,7 ,
