"20" ,10 ,"FAIRVIEW MUNICIPAL" ,"Race Statistics" ,"" ,"NP" ,"Number of Precincts" ,"" ,"NP" ,1 ,
"20" ,10 ,"FAIRVIEW MUNICIPAL" ,"Race Statistics" ,"" ,"NP" ,"Number of Precincts" ,"" ,"NP" ,1 ,
"20" ,10 ,"FAIRVIEW MUNICIPAL" ,"Race Statistics" ,"" ,"NP" ,"Number of Precincts" ,"" ,"NP" ,1 ,
"20" ,10 ,"FAIRVIEW MUNICIPAL" ,"Race Statistics" ,"" ,"NP" ,"Number of Precincts" ,"" ,"NP" ,1 ,
"20" ,10 ,"FAIRVIEW MUNICIPAL" ,"Race Statistics" ,"" ,"NP" ,"Number of Precincts" ,"" ,"NP" ,1 ,
"20" ,10 ,"FAIRVIEW MUNICIPAL" ,"Race Statistics" ,"" ,"NP" ,"Number of Precincts Reporting" ,"" ,"NP" ,1 ,
"20" ,10 ,"FAIRVIEW MUNICIPAL" ,"Race Statistics" ,"" ,"NP" ,"Number of Precincts Reporting" ,"" ,"NP" ,1 ,
"20" ,10 ,"FAIRVIEW MUNICIPAL" ,"Race Statistics" ,"" ,"NP" ,"Number of Precincts Reporting" ,"" ,"NP" ,1 ,
"20" ,10 ,"FAIRVIEW MUNICIPAL" ,"Race Statistics" ,"" ,"NP" ,"Number of Precincts Reporting" ,"" ,"NP" ,1 ,
"20" ,10 ,"FAIRVIEW MUNICIPAL" ,"Race Statistics" ,"" ,"NP" ,"Number of Precincts Reporting" ,"" ,"NP" ,1 ,
"20" ,10 ,"FAIRVIEW MUNICIPAL" ,"STRAIGHT PARTY" ,"" ,"NP" ,"Number of Precincts for Race" ,"" ,"NP" ,1 ,
"20" ,10 ,"FAIRVIEW MUNICIPAL" ,"STRAIGHT PARTY" ,"" ,"NP" ,"Number of Precincts for Race" ,"" ,"NP" ,1 ,
"20" ,10 ,"FAIRVIEW MUNICIPAL" ,"STRAIGHT PARTY" ,"" ,"NP" ,"Number of Precincts for Race" ,"" ,"NP" ,1 ,
"20" ,10 ,"FAIRVIEW MUNICIPAL" ,"STRAIGHT PARTY" ,"" ,"NP" ,"Number of Precincts for Race" ,"" ,"NP" ,1 ,
"20" ,10 ,"FAIRVIEW MUNICIPAL" ,"STRAIGHT PARTY" ,"" ,"NP" ,"Number of Precincts for Race" ,"" ,"NP" ,1 ,
"20" ,10 ,"FAIRVIEW MUNICIPAL" ,"STRAIGHT PARTY" ,"" ,"NP" ,"Number of Precincts Reporting" ,"" ,"NP" ,1 ,
"20" ,10 ,"FAIRVIEW MUNICIPAL" ,"STRAIGHT PARTY" ,"" ,"NP" ,"Number of Precincts Reporting" ,"" ,"NP" ,1 ,
"20" ,10 ,"FAIRVIEW MUNICIPAL" ,"STRAIGHT PARTY" ,"" ,"NP" ,"Number of Precincts Reporting" ,"" ,"NP" ,1 ,
"20" ,10 ,"FAIRVIEW MUNICIPAL" ,"STRAIGHT PARTY" ,"" ,"NP" ,"Number of Precincts Reporting" ,"" ,"NP" ,1 ,
"20" ,10 ,"FAIRVIEW MUNICIPAL" ,"STRAIGHT PARTY" ,"" ,"NP" ,"Number of Precincts Reporting" ,"" ,"NP" ,1 ,
"20" ,10 ,"FAIRVIEW MUNICIPAL" ,"STRAIGHT PARTY" ,"" ,"NP" ,"Registered Voters" ,"" ,"NP" ,0 ,
"20" ,10 ,"FAIRVIEW MUNICIPAL" ,"STRAIGHT PARTY" ,"" ,"NP" ,"Registered Voters" ,"" ,"NP" ,0 ,
"20" ,10 ,"FAIRVIEW MUNICIPAL" ,"STRAIGHT PARTY" ,"" ,"NP" ,"Registered Voters" ,"" ,"NP" ,0 ,
"20" ,10 ,"FAIRVIEW MUNICIPAL" ,"STRAIGHT PARTY" ,"" ,"NP" ,"Registered Voters" ,"" ,"NP" ,0 ,
"20" ,10 ,"FAIRVIEW MUNICIPAL" ,"STRAIGHT PARTY" ,"" ,"NP" ,"Registered Voters" ,"" ,"NP" ,595 ,
"20" ,10 ,"FAIRVIEW MUNICIPAL" ,"STRAIGHT PARTY" ,"" ,"NP" ,"REPUBLICAN" ,"" ,"REP" ,6 ,
"20" ,10 ,"FAIRVIEW MUNICIPAL" ,"STRAIGHT PARTY" ,"" ,"NP" ,"REPUBLICAN" ,"" ,"REP" ,9 ,
"20" ,10 ,"FAIRVIEW MUNICIPAL" ,"STRAIGHT PARTY" ,"" ,"NP" ,"REPUBLICAN" ,"" ,"REP" ,0 ,
"20" ,10 ,"FAIRVIEW MUNICIPAL" ,"STRAIGHT PARTY" ,"" ,"NP" ,"REPUBLICAN" ,"" ,"REP" ,120 ,
"20" ,10 ,"FAIRVIEW MUNICIPAL" ,"STRAIGHT PARTY" ,"" ,"NP" ,"REPUBLICAN" ,"" ,"REP" ,135 ,
"20" ,10 ,"FAIRVIEW MUNICIPAL" ,"STRAIGHT PARTY" ,"" ,"NP" ,"DEMOCRATIC" ,"" ,"DEM" ,0 ,
"20" ,10 ,"FAIRVIEW MUNICIPAL" ,"STRAIGHT PARTY" ,"" ,"NP" ,"DEMOCRATIC" ,"" ,"DEM" ,1 ,
"20" ,10 ,"FAIRVIEW MUNICIPAL" ,"STRAIGHT PARTY" ,"" ,"NP" ,"DEMOCRATIC" ,"" ,"DEM" ,0 ,
"20" ,10 ,"FAIRVIEW MUNICIPAL" ,"STRAIGHT PARTY" ,"" ,"NP" ,"DEMOCRATIC" ,"" ,"DEM" ,17 ,
"20" ,10 ,"FAIRVIEW MUNICIPAL" ,"STRAIGHT PARTY" ,"" ,"NP" ,"DEMOCRATIC" ,"" ,"DEM" ,18 ,
"20" ,10 ,"FAIRVIEW MUNICIPAL" ,"STRAIGHT PARTY" ,"" ,"NP" ,"CONSTITUTION" ,"" ,"CON" ,0 ,
"20" ,10 ,"FAIRVIEW MUNICIPAL" ,"STRAIGHT PARTY" ,"" ,"NP" ,"CONSTITUTION" ,"" ,"CON" ,0 ,
"20" ,10 ,"FAIRVIEW MUNICIPAL" ,"STRAIGHT PARTY" ,"" ,"NP" ,"CONSTITUTION" ,"" ,"CON" ,0 ,
"20" ,10 ,"FAIRVIEW MUNICIPAL" ,"STRAIGHT PARTY" ,"" ,"NP" ,"CONSTITUTION" ,"" ,"CON" ,3 ,
"20" ,10 ,"FAIRVIEW MUNICIPAL" ,"STRAIGHT PARTY" ,"" ,"NP" ,"CONSTITUTION" ,"" ,"CON" ,3 ,
"20" ,10 ,"FAIRVIEW MUNICIPAL" ,"STRAIGHT PARTY" ,"" ,"NP" ,"LIBERTARIAN" ,"" ,"LIB" ,0 ,
"20" ,10 ,"FAIRVIEW MUNICIPAL" ,"STRAIGHT PARTY" ,"" ,"NP" ,"LIBERTARIAN" ,"" ,"LIB" ,0 ,
"20" ,10 ,"FAIRVIEW MUNICIPAL" ,"STRAIGHT PARTY" ,"" ,"NP" ,"LIBERTARIAN" ,"" ,"LIB" ,0 ,
"20" ,10 ,"FAIRVIEW MUNICIPAL" ,"STRAIGHT PARTY" ,"" ,"NP" ,"LIBERTARIAN" ,"" ,"LIB" ,1 ,
"20" ,10 ,"FAIRVIEW MUNICIPAL" ,"STRAIGHT PARTY" ,"" ,"NP" ,"LIBERTARIAN" ,"" ,"LIB" ,1 ,
"20" ,10 ,"FAIRVIEW MUNICIPAL" ,"STRAIGHT PARTY" ,"" ,"NP" ,"GREEN" ,"" ,"GRE" ,0 ,
"20" ,10 ,"FAIRVIEW MUNICIPAL" ,"STRAIGHT PARTY" ,"" ,"NP" ,"GREEN" ,"" ,"GRE" ,0 ,
"20" ,10 ,"FAIRVIEW MUNICIPAL" ,"STRAIGHT PARTY" ,"" ,"NP" ,"GREEN" ,"" ,"GRE" ,0 ,
"20" ,10 ,"FAIRVIEW MUNICIPAL" ,"STRAIGHT PARTY" ,"" ,"NP" ,"GREEN" ,"" ,"GRE" ,1 ,
"20" ,10 ,"FAIRVIEW MUNICIPAL" ,"STRAIGHT PARTY" ,"" ,"NP" ,"GREEN" ,"" ,"GRE" ,1 ,
"20" ,10 ,"FAIRVIEW MUNICIPAL" ,"STRAIGHT PARTY" ,"" ,"NP" ,"JUSTICE" ,"" ,"JUS" ,0 ,
"20" ,10 ,"FAIRVIEW MUNICIPAL" ,"STRAIGHT PARTY" ,"" ,"NP" ,"JUSTICE" ,"" ,"JUS" ,0 ,
"20" ,10 ,"FAIRVIEW MUNICIPAL" ,"STRAIGHT PARTY" ,"" ,"NP" ,"JUSTICE" ,"" ,"JUS" ,0 ,
"20" ,10 ,"FAIRVIEW MUNICIPAL" ,"STRAIGHT PARTY" ,"" ,"NP" ,"JUSTICE" ,"" ,"JUS" ,0 ,
"20" ,10 ,"FAIRVIEW MUNICIPAL" ,"STRAIGHT PARTY" ,"" ,"NP" ,"JUSTICE" ,"" ,"JUS" ,0 ,
"20" ,10 ,"FAIRVIEW MUNICIPAL" ,"US PRESIDENT" ,"300000" ,"NP" ,"Number of Precincts for Race" ,"" ,"NP" ,1 ,
"20" ,10 ,"FAIRVIEW MUNICIPAL" ,"US PRESIDENT" ,"300000" ,"NP" ,"Number of Precincts for Race" ,"" ,"NP" ,1 ,
"20" ,10 ,"FAIRVIEW MUNICIPAL" ,"US PRESIDENT" ,"300000" ,"NP" ,"Number of Precincts for Race" ,"" ,"NP" ,1 ,
"20" ,10 ,"FAIRVIEW MUNICIPAL" ,"US PRESIDENT" ,"300000" ,"NP" ,"Number of Precincts for Race" ,"" ,"NP" ,1 ,
"20" ,10 ,"FAIRVIEW MUNICIPAL" ,"US PRESIDENT" ,"300000" ,"NP" ,"Number of Precincts for Race" ,"" ,"NP" ,1 ,
"20" ,10 ,"FAIRVIEW MUNICIPAL" ,"US PRESIDENT" ,"300000" ,"NP" ,"Number of Precincts Reporting" ,"" ,"NP" ,1 ,
"20" ,10 ,"FAIRVIEW MUNICIPAL" ,"US PRESIDENT" ,"300000" ,"NP" ,"Number of Precincts Reporting" ,"" ,"NP" ,1 ,
"20" ,10 ,"FAIRVIEW MUNICIPAL" ,"US PRESIDENT" ,"300000" ,"NP" ,"Number of Precincts Reporting" ,"" ,"NP" ,1 ,
"20" ,10 ,"FAIRVIEW MUNICIPAL" ,"US PRESIDENT" ,"300000" ,"NP" ,"Number of Precincts Reporting" ,"" ,"NP" ,1 ,
"20" ,10 ,"FAIRVIEW MUNICIPAL" ,"US PRESIDENT" ,"300000" ,"NP" ,"Number of Precincts Reporting" ,"" ,"NP" ,1 ,
"20" ,10 ,"FAIRVIEW MUNICIPAL" ,"US PRESIDENT" ,"300000" ,"NP" ,"Registered Voters" ,"" ,"NP" ,0 ,
"20" ,10 ,"FAIRVIEW MUNICIPAL" ,"US PRESIDENT" ,"300000" ,"NP" ,"Registered Voters" ,"" ,"NP" ,0 ,
"20" ,10 ,"FAIRVIEW MUNICIPAL" ,"US PRESIDENT" ,"300000" ,"NP" ,"Registered Voters" ,"" ,"NP" ,0 ,
"20" ,10 ,"FAIRVIEW MUNICIPAL" ,"US PRESIDENT" ,"300000" ,"NP" ,"Registered Voters" ,"" ,"NP" ,0 ,
"20" ,10 ,"FAIRVIEW MUNICIPAL" ,"US PRESIDENT" ,"300000" ,"NP" ,"Registered Voters" ,"" ,"NP" ,595 ,
"20" ,10 ,"FAIRVIEW MUNICIPAL" ,"US PRESIDENT" ,"300000" ,"NP" ,"JILL STEIN" ,"300001" ,"GRE" ,0 ,
"20" ,10 ,"FAIRVIEW MUNICIPAL" ,"US PRESIDENT" ,"300000" ,"NP" ,"JILL STEIN" ,"300001" ,"GRE" ,0 ,
"20" ,10 ,"FAIRVIEW MUNICIPAL" ,"US PRESIDENT" ,"300000" ,"NP" ,"JILL STEIN" ,"300001" ,"GRE" ,0 ,
"20" ,10 ,"FAIRVIEW MUNICIPAL" ,"US PRESIDENT" ,"300000" ,"NP" ,"JILL STEIN" ,"300001" ,"GRE" ,2 ,
"20" ,10 ,"FAIRVIEW MUNICIPAL" ,"US PRESIDENT" ,"300000" ,"NP" ,"JILL STEIN" ,"300001" ,"GRE" ,2 ,
