"2" ,10 ,"Beaver Dam/Collinston" ,"Race Statistics" ,"" ,"NP" ,"Number of Precincts" ,"" ,"NP" ,1 ,
"2" ,10 ,"Beaver Dam/Collinston" ,"Race Statistics" ,"" ,"NP" ,"Number of Precincts" ,"" ,"NP" ,1 ,
"2" ,10 ,"Beaver Dam/Collinston" ,"Race Statistics" ,"" ,"NP" ,"Number of Precincts" ,"" ,"NP" ,1 ,
"2" ,10 ,"Beaver Dam/Collinston" ,"Race Statistics" ,"" ,"NP" ,"Number of Precincts Reporting" ,"" ,"NP" ,1 ,
"2" ,10 ,"Beaver Dam/Collinston" ,"Race Statistics" ,"" ,"NP" ,"Number of Precincts Reporting" ,"" ,"NP" ,1 ,
"2" ,10 ,"Beaver Dam/Collinston" ,"Race Statistics" ,"" ,"NP" ,"Number of Precincts Reporting" ,"" ,"NP" ,1 ,
"2" ,10 ,"Beaver Dam/Collinston" ,"STRAIGHT PARTY" ,"" ,"NP" ,"Number of Precincts for Race" ,"" ,"NP" ,1 ,
"2" ,10 ,"Beaver Dam/Collinston" ,"STRAIGHT PARTY" ,"" ,"NP" ,"Number of Precincts for Race" ,"" ,"NP" ,1 ,
"2" ,10 ,"Beaver Dam/Collinston" ,"STRAIGHT PARTY" ,"" ,"NP" ,"Number of Precincts for Race" ,"" ,"NP" ,1 ,
"2" ,10 ,"Beaver Dam/Collinston" ,"STRAIGHT PARTY" ,"" ,"NP" ,"Number of Precincts Reporting" ,"" ,"NP" ,1 ,
"2" ,10 ,"Beaver Dam/Collinston" ,"STRAIGHT PARTY" ,"" ,"NP" ,"Number of Precincts Reporting" ,"" ,"NP" ,1 ,
"2" ,10 ,"Beaver Dam/Collinston" ,"STRAIGHT PARTY" ,"" ,"NP" ,"Number of Precincts Reporting" ,"" ,"NP" ,1 ,
"2" ,10 ,"Beaver Dam/Collinston" ,"STRAIGHT PARTY" ,"" ,"NP" ,"Registered Voters" ,"" ,"NP" ,0 ,
"2" ,10 ,"Beaver Dam/Collinston" ,"STRAIGHT PARTY" ,"" ,"NP" ,"Registered Voters" ,"" ,"NP" ,0 ,
"2" ,10 ,"Beaver Dam/Collinston" ,"STRAIGHT PARTY" ,"" ,"NP" ,"Registered Voters" ,"" ,"NP" ,206 ,
"2" ,10 ,"Beaver Dam/Collinston" ,"STRAIGHT PARTY" ,"" ,"NP" ,"CONSTITUTION" ,"" ,"CON" ,0 ,
"2" ,10 ,"Beaver Dam/Collinston" ,"STRAIGHT PARTY" ,"" ,"NP" ,"CONSTITUTION" ,"" ,"CON" ,0 ,
"2" ,10 ,"Beaver Dam/Collinston" ,"STRAIGHT PARTY" ,"" ,"NP" ,"CONSTITUTION" ,"" ,"CON" ,0 ,
"2" ,10 ,"Beaver Dam/Collinston" ,"STRAIGHT PARTY" ,"" ,"NP" ,"LIBERTARIAN" ,"" ,"LIB" ,0 ,
"2" ,10 ,"Beaver Dam/Collinston" ,"STRAIGHT PARTY" ,"" ,"NP" ,"LIBERTARIAN" ,"" ,"LIB" ,0 ,
"2" ,10 ,"Beaver Dam/Collinston" ,"STRAIGHT PARTY" ,"" ,"NP" ,"LIBERTARIAN" ,"" ,"LIB" ,0 ,
"2" ,10 ,"Beaver Dam/Collinston" ,"STRAIGHT PARTY" ,"" ,"NP" ,"DEMOCRATIC" ,"" ,"DEM" ,4 ,
"2" ,10 ,"Beaver Dam/Collinston" ,"STRAIGHT PARTY" ,"" ,"NP" ,"DEMOCRATIC" ,"" ,"DEM" ,0 ,
"2" ,10 ,"Beaver Dam/Collinston" ,"STRAIGHT PARTY" ,"" ,"NP" ,"DEMOCRATIC" ,"" ,"DEM" ,4 ,
"2" ,10 ,"Beaver Dam/Collinston" ,"STRAIGHT PARTY" ,"" ,"NP" ,"REPUBLICAN" ,"" ,"REP" ,34 ,
"2" ,10 ,"Beaver Dam/Collinston" ,"STRAIGHT PARTY" ,"" ,"NP" ,"REPUBLICAN" ,"" ,"REP" ,1 ,
"2" ,10 ,"Beaver Dam/Collinston" ,"STRAIGHT PARTY" ,"" ,"NP" ,"REPUBLICAN" ,"" ,"REP" ,35 ,
"2" ,10 ,"Beaver Dam/Collinston" ,"STRAIGHT PARTY" ,"" ,"NP" ,"JUSTICE" ,"" ,"JUS" ,0 ,
"2" ,10 ,"Beaver Dam/Collinston" ,"STRAIGHT PARTY" ,"" ,"NP" ,"JUSTICE" ,"" ,"JUS" ,0 ,
"2" ,10 ,"Beaver Dam/Collinston" ,"STRAIGHT PARTY" ,"" ,"NP" ,"JUSTICE" ,"" ,"JUS" ,0 ,
"2" ,10 ,"Beaver Dam/Collinston" ,"STRAIGHT PARTY" ,"" ,"NP" ,"GREEN" ,"" ,"GRN" ,0 ,
"2" ,10 ,"Beaver Dam/Collinston" ,"STRAIGHT PARTY" ,"" ,"NP" ,"GREEN" ,"" ,"GRN" ,0 ,
"2" ,10 ,"Beaver Dam/Collinston" ,"STRAIGHT PARTY" ,"" ,"NP" ,"GREEN" ,"" ,"GRN" ,0 ,
"2" ,10 ,"Beaver Dam/Collinston" ,"U.S. PRESIDENT" ,"300000" ,"NP" ,"Number of Precincts for Race" ,"" ,"NP" ,1 ,
"2" ,10 ,"Beaver Dam/Collinston" ,"U.S. PRESIDENT" ,"300000" ,"NP" ,"Number of Precincts for Race" ,"" ,"NP" ,1 ,
"2" ,10 ,"Beaver Dam/Collinston" ,"U.S. PRESIDENT" ,"300000" ,"NP" ,"Number of Precincts for Race" ,"" ,"NP" ,1 ,
"2" ,10 ,"Beaver Dam/Collinston" ,"U.S. PRESIDENT" ,"300000" ,"NP" ,"Number of Precincts Reporting" ,"" ,"NP" ,1 ,
"2" ,10 ,"Beaver Dam/Collinston" ,"U.S. PRESIDENT" ,"300000" ,"NP" ,"Number of Precincts Reporting" ,"" ,"NP" ,1 ,
"2" ,10 ,"Beaver Dam/Collinston" ,"U.S. PRESIDENT" ,"300000" ,"NP" ,"Number of Precincts Reporting" ,"" ,"NP" ,1 ,
"2" ,10 ,"Beaver Dam/Collinston" ,"U.S. PRESIDENT" ,"300000" ,"NP" ,"Registered Voters" ,"" ,"NP" ,0 ,
"2" ,10 ,"Beaver Dam/Collinston" ,"U.S. PRESIDENT" ,"300000" ,"NP" ,"Registered Voters" ,"" ,"NP" ,0 ,
"2" ,10 ,"Beaver Dam/Collinston" ,"U.S. PRESIDENT" ,"300000" ,"NP" ,"Registered Voters" ,"" ,"NP" ,206 ,
"2" ,10 ,"Beaver Dam/Collinston" ,"U.S. PRESIDENT" ,"300000" ,"NP" ,"JILL STEIN" ,"300001" ,"GRN" ,1 ,
"2" ,10 ,"Beaver Dam/Collinston" ,"U.S. PRESIDENT" ,"300000" ,"NP" ,"JILL STEIN" ,"300001" ,"GRN" ,0 ,
"2" ,10 ,"Beaver Dam/Collinston" ,"U.S. PRESIDENT" ,"300000" ,"NP" ,"JILL STEIN" ,"300001" ,"GRN" ,1 ,
"2" ,10 ,"Beaver Dam/Collinston" ,"U.S. PRESIDENT" ,"300000" ,"NP" ,"GLORIA LA RIVA" ,"300002" ,"PSL" ,0 ,
"2" ,10 ,"Beaver Dam/Collinston" ,"U.S. PRESIDENT" ,"300000" ,"NP" ,"GLORIA LA RIVA" ,"300002" ,"PSL" ,0 ,
"2" ,10 ,"Beaver Dam/Collinston" ,"U.S. PRESIDENT" ,"300000" ,"NP" ,"GLORIA LA RIVA" ,"300002" ,"PSL" ,0 ,
"2" ,10 ,"Beaver Dam/Collinston" ,"U.S. PRESIDENT" ,"300000" ,"NP" ,"MITT ROMNEY  " ,"300007" ,"REP" ,167 ,
"2" ,10 ,"Beaver Dam/Collinston" ,"U.S. PRESIDENT" ,"300000" ,"NP" ,"MITT ROMNEY  " ,"300007" ,"REP" ,3 ,
"2" ,10 ,"Beaver Dam/Collinston" ,"U.S. PRESIDENT" ,"300000" ,"NP" ,"MITT ROMNEY  " ,"300007" ,"REP" ,170 ,
"2" ,10 ,"Beaver Dam/Collinston" ,"U.S. PRESIDENT" ,"300000" ,"NP" ,"BARACK OBAMA" ,"300005" ,"DEM" ,11 ,
"2" ,10 ,"Beaver Dam/Collinston" ,"U.S. PRESIDENT" ,"300000" ,"NP" ,"BARACK OBAMA" ,"300005" ,"DEM" ,0 ,
"2" ,10 ,"Beaver Dam/Collinston" ,"U.S. PRESIDENT" ,"300000" ,"NP" ,"BARACK OBAMA" ,"300005" ,"DEM" ,11 ,
"2" ,10 ,"Beaver Dam/Collinston" ,"U.S. PRESIDENT" ,"300000" ,"NP" ,"GARY JOHNSON" ,"300003" ,"LIB" ,0 ,
"2" ,10 ,"Beaver Dam/Collinston" ,"U.S. PRESIDENT" ,"300000" ,"NP" ,"GARY JOHNSON" ,"300003" ,"LIB" ,0 ,
"2" ,10 ,"Beaver Dam/Collinston" ,"U.S. PRESIDENT" ,"300000" ,"NP" ,"GARY JOHNSON" ,"300003" ,"LIB" ,0 ,
"2" ,10 ,"Beaver Dam/Collinston" ,"U.S. PRESIDENT" ,"300000" ,"NP" ,"VIRGIL GOODE" ,"300004" ,"CON" ,1 ,
"2" ,10 ,"Beaver Dam/Collinston" ,"U.S. PRESIDENT" ,"300000" ,"NP" ,"VIRGIL GOODE" ,"300004" ,"CON" ,0 ,
"2" ,10 ,"Beaver Dam/Collinston" ,"U.S. PRESIDENT" ,"300000" ,"NP" ,"VIRGIL GOODE" ,"300004" ,"CON" ,1 ,
"2" ,10 ,"Beaver Dam/Collinston" ,"U.S. PRESIDENT" ,"300000" ,"NP" ,"ROSS C. \"ROCKY\" ANDE" ,"300006" ,"JUS" ,1 ,
"2" ,10 ,"Beaver Dam/Collinston" ,"U.S. PRESIDENT" ,"300000" ,"NP" ,"ROSS C. \"ROCKY\" ANDE" ,"300006" ,"JUS" ,0 ,
"2" ,10 ,"Beaver Dam/Collinston" ,"U.S. PRESIDENT" ,"300000" ,"NP" ,"ROSS C. \"ROCKY\" ANDE" ,"300006" ,"JUS" ,1 ,
