"11" ,999999 ,"Election Total" ,"Race Statistics" ,"" ,"NP" ,"Number of Precincts" ,"" ,"NP" ,55 ,
"11" ,999999 ,"Election Total" ,"Race Statistics" ,"" ,"NP" ,"Number of Precincts Reporting" ,"" ,"NP" ,55 ,
"11" ,999999 ,"Election Total" ,"STRAIGHT PARTY" ,"" ,"NP" ,"Number of Precincts for Race" ,"" ,"NP" ,55 ,
"11" ,999999 ,"Election Total" ,"STRAIGHT PARTY" ,"" ,"NP" ,"Number of Precincts Reporting" ,"" ,"NP" ,55 ,
"11" ,999999 ,"Election Total" ,"STRAIGHT PARTY" ,"" ,"NP" ,"Registered Voters" ,"" ,"NP" ,20656 ,
"11" ,999999 ,"Election Total" ,"STRAIGHT PARTY" ,"" ,"NP" ,"CONSTITUTION" ,"" ,"CON" ,44 ,
"11" ,999999 ,"Election Total" ,"STRAIGHT PARTY" ,"" ,"NP" ,"LIBERTARIAN" ,"" ,"LIB" ,67 ,
"11" ,999999 ,"Election Total" ,"STRAIGHT PARTY" ,"" ,"NP" ,"DEMOCRATIC" ,"" ,"DEM" ,875 ,
"11" ,999999 ,"Election Total" ,"STRAIGHT PARTY" ,"" ,"NP" ,"REPUBLICAN" ,"" ,"REP" ,5664 ,
"11" ,999999 ,"Election Total" ,"STRAIGHT PARTY" ,"" ,"NP" ,"JUSTICE" ,"" ,"JUS" ,14 ,
"11" ,999999 ,"Election Total" ,"STRAIGHT PARTY" ,"" ,"NP" ,"GREEN" ,"" ,"GRN" ,14 ,
"11" ,999999 ,"Election Total" ,"PRESIDENT/VICE PRES" ,"300000" ,"NP" ,"Number of Precincts for Race" ,"" ,"NP" ,55 ,
"11" ,999999 ,"Election Total" ,"PRESIDENT/VICE PRES" ,"300000" ,"NP" ,"Number of Precincts Reporting" ,"" ,"NP" ,55 ,
"11" ,999999 ,"Election Total" ,"PRESIDENT/VICE PRES" ,"300000" ,"NP" ,"Registered Voters" ,"" ,"NP" ,20656 ,
"11" ,999999 ,"Election Total" ,"PRESIDENT/VICE PRES" ,"300000" ,"NP" ,"Jill Stein" ,"300001" ,"GRN" ,43 ,
"11" ,999999 ,"Election Total" ,"PRESIDENT/VICE PRES" ,"300000" ,"NP" ,"Gloria La Riva" ,"300002" ,"NP" ,4 ,
"11" ,999999 ,"Election Total" ,"PRESIDENT/VICE PRES" ,"300000" ,"NP" ,"Mitt Romney" ,"300007" ,"REP" ,14200 ,
"11" ,999999 ,"Election Total" ,"PRESIDENT/VICE PRES" ,"300000" ,"NP" ,"Barack Obama" ,"300005" ,"DEM" ,2148 ,
"11" ,999999 ,"Election Total" ,"PRESIDENT/VICE PRES" ,"300000" ,"NP" ,"Gary Johnson" ,"300003" ,"LIB" ,202 ,
"11" ,999999 ,"Election Total" ,"PRESIDENT/VICE PRES" ,"300000" ,"NP" ,"Virgil Goode" ,"300004" ,"CON" ,66 ,
"11" ,999999 ,"Election Total" ,"PRESIDENT/VICE PRES" ,"300000" ,"NP" ,"Ross C. Anderson" ,"300006" ,"JUS" ,38 ,
"11" ,999999 ,"Election Total" ,"PRESIDENT/VICE PRES" ,"300000" ,"NP" ,"Write-in 90" ,"" ,"NP" ,110 ,
"11" ,999999 ,"Election Total" ,"US SENATE" ,"300050" ,"NP" ,"Number of Precincts for Race" ,"" ,"NP" ,55 ,
"11" ,999999 ,"Election Total" ,"US SENATE" ,"300050" ,"NP" ,"Number of Precincts Reporting" ,"" ,"NP" ,55 ,
"11" ,999999 ,"Election Total" ,"US SENATE" ,"300050" ,"NP" ,"Registered Voters" ,"" ,"NP" ,20656 ,
"11" ,999999 ,"Election Total" ,"US SENATE" ,"300050" ,"NP" ,"Shaun McCausland" ,"300055" ,"CON" ,970 ,
"11" ,999999 ,"Election Total" ,"US SENATE" ,"300050" ,"NP" ,"Scott Howell" ,"300054" ,"DEM" ,2821 ,
"11" ,999999 ,"Election Total" ,"US SENATE" ,"300050" ,"NP" ,"Orrin G. Hatch" ,"300053" ,"REP" ,12399 ,
"11" ,999999 ,"Election Total" ,"US SENATE" ,"300050" ,"NP" ,"Daniel Geery" ,"300052" ,"JUS" ,153 ,
"11" ,999999 ,"Election Total" ,"US SENATE" ,"300050" ,"NP" ,"Bill Barron" ,"300051" ,"NP" ,175 ,
"11" ,999999 ,"Election Total" ,"US SENATE" ,"300050" ,"NP" ,"Write-in 60" ,"" ,"NP" ,47 ,
"11" ,999999 ,"Election Total" ,"US HOUSE D2" ,"300150" ,"NP" ,"Number of Precincts for Race" ,"" ,"NP" ,55 ,
"11" ,999999 ,"Election Total" ,"US HOUSE D2" ,"300150" ,"NP" ,"Number of Precincts Reporting" ,"" ,"NP" ,55 ,
"11" ,999999 ,"Election Total" ,"US HOUSE D2" ,"300150" ,"NP" ,"Registered Voters" ,"" ,"NP" ,20656 ,
"11" ,999999 ,"Election Total" ,"US HOUSE D2" ,"300150" ,"NP" ,"Chris Stewart" ,"300155" ,"REP" ,12695 ,
"11" ,999999 ,"Election Total" ,"US HOUSE D2" ,"300150" ,"NP" ,"Jay Seegmiller" ,"300154" ,"DEM" ,2737 ,
"11" ,999999 ,"Election Total" ,"US HOUSE D2" ,"300150" ,"NP" ,"Charles E Kimball" ,"300153" ,"NP" ,232 ,
