"8" ,999999 ,"Election Total" ,"Race Statistics" ,"" ,"NP" ,"Number of Precincts" ,"" ,"NP" ,12 ,
"8" ,999999 ,"Election Total" ,"Race Statistics" ,"" ,"NP" ,"Number of Precincts Reporting" ,"" ,"NP" ,12 ,
"8" ,999999 ,"Election Total" ,"STRAIGHT PARTY" ,"" ,"NP" ,"Number of Precincts for Race" ,"" ,"NP" ,12 ,
"8" ,999999 ,"Election Total" ,"STRAIGHT PARTY" ,"" ,"NP" ,"Number of Precincts Reporting" ,"" ,"NP" ,12 ,
"8" ,999999 ,"Election Total" ,"STRAIGHT PARTY" ,"" ,"NP" ,"Registered Voters" ,"" ,"NP" ,6474 ,
"8" ,999999 ,"Election Total" ,"STRAIGHT PARTY" ,"" ,"NP" ,"CONSTITUTION" ,"" ,"CON" ,11 ,
"8" ,999999 ,"Election Total" ,"STRAIGHT PARTY" ,"" ,"NP" ,"LIBERTARIAN" ,"" ,"LIB" ,24 ,
"8" ,999999 ,"Election Total" ,"STRAIGHT PARTY" ,"" ,"NP" ,"DEMOCRATIC" ,"" ,"DEM" ,248 ,
"8" ,999999 ,"Election Total" ,"STRAIGHT PARTY" ,"" ,"NP" ,"REPUBLICAN" ,"" ,"REP" ,1113 ,
"8" ,999999 ,"Election Total" ,"STRAIGHT PARTY" ,"" ,"NP" ,"JUSTICE" ,"" ,"JUS" ,6 ,
"8" ,999999 ,"Election Total" ,"STRAIGHT PARTY" ,"" ,"NP" ,"GREEN" ,"" ,"GRN" ,9 ,
"8" ,999999 ,"Election Total" ,"US PRESIDENT" ,"300000" ,"NP" ,"Number of Precincts for Race" ,"" ,"NP" ,12 ,
"8" ,999999 ,"Election Total" ,"US PRESIDENT" ,"300000" ,"NP" ,"Number of Precincts Reporting" ,"" ,"NP" ,12 ,
"8" ,999999 ,"Election Total" ,"US PRESIDENT" ,"300000" ,"NP" ,"Registered Voters" ,"" ,"NP" ,6474 ,
"8" ,999999 ,"Election Total" ,"US PRESIDENT" ,"300000" ,"NP" ,"STEIN, JILL" ,"300001" ,"GRN" ,10 ,
"8" ,999999 ,"Election Total" ,"US PRESIDENT" ,"300000" ,"NP" ,"La RIVA, GLORIA" ,"300002" ,"NP" ,4 ,
"8" ,999999 ,"Election Total" ,"US PRESIDENT" ,"300000" ,"NP" ,"ROMNEY, MITT" ,"300007" ,"REP" ,3777 ,
"8" ,999999 ,"Election Total" ,"US PRESIDENT" ,"300000" ,"NP" ,"OBAMA, BARACK" ,"300005" ,"DEM" ,569 ,
"8" ,999999 ,"Election Total" ,"US PRESIDENT" ,"300000" ,"NP" ,"JOHNSON, GARY" ,"300003" ,"LIB" ,47 ,
"8" ,999999 ,"Election Total" ,"US PRESIDENT" ,"300000" ,"NP" ,"GOODE, VIRGIL" ,"300004" ,"CON" ,18 ,
"8" ,999999 ,"Election Total" ,"US PRESIDENT" ,"300000" ,"NP" ,"ANDERSON, ROSS C." ,"300006" ,"JUS" ,24 ,
"8" ,999999 ,"Election Total" ,"US PRESIDENT" ,"300000" ,"NP" ,"Write-in 80" ,"" ,"NP" ,30 ,
"8" ,999999 ,"Election Total" ,"UNITED STATES SENATE" ,"300050" ,"NP" ,"Number of Precincts for Race" ,"" ,"NP" ,12 ,
"8" ,999999 ,"Election Total" ,"UNITED STATES SENATE" ,"300050" ,"NP" ,"Number of Precincts Reporting" ,"" ,"NP" ,12 ,
"8" ,999999 ,"Election Total" ,"UNITED STATES SENATE" ,"300050" ,"NP" ,"Registered Voters" ,"" ,"NP" ,6474 ,
"8" ,999999 ,"Election Total" ,"UNITED STATES SENATE" ,"300050" ,"NP" ,"McCAUSLAND, SHAUN" ,"300055" ,"CON" ,113 ,
"8" ,999999 ,"Election Total" ,"UNITED STATES SENATE" ,"300050" ,"NP" ,"HOWELL, SCOTT" ,"300054" ,"DEM" ,884 ,
"8" ,999999 ,"Election Total" ,"UNITED STATES SENATE" ,"300050" ,"NP" ,"HATCH, ORRIN G." ,"300053" ,"REP" ,3379 ,
"8" ,999999 ,"Election Total" ,"UNITED STATES SENATE" ,"300050" ,"NP" ,"GEERY, DANIEL" ,"300052" ,"JUS" ,23 ,
"8" ,999999 ,"Election Total" ,"UNITED STATES SENATE" ,"300050" ,"NP" ,"BARRON, BILL" ,"300051" ,"NP" ,22 ,
"8" ,999999 ,"Election Total" ,"UNITED STATES SENATE" ,"300050" ,"NP" ,"Write-in 60" ,"" ,"NP" ,1 ,
"8" ,999999 ,"Election Total" ,"UNITED STATES HOUSE D3" ,"300200" ,"NP" ,"Number of Precincts for Race" ,"" ,"NP" ,12 ,
"8" ,999999 ,"Election Total" ,"UNITED STATES HOUSE D3" ,"300200" ,"NP" ,"Number of Precincts Reporting" ,"" ,"NP" ,12 ,
"8" ,999999 ,"Election Total" ,"UNITED STATES HOUSE D3" ,"300200" ,"NP" ,"Registered Voters" ,"" ,"NP" ,6474 ,
"8" ,999999 ,"Election Total" ,"UNITED STATES HOUSE D3" ,"300200" ,"NP" ,"CHAFFETZ, JASON" ,"300201" ,"REP" ,3436 ,
