Summary Results Report,,,,OFFICIAL RESULTS
General Election,,,,
6-Nov-18,,,,DUCHESNE COUNTY
AL11 Altamont - County,,,,
STATISTICS,,,,
,,TOTAL,,
Registered Voters - Total,,324,,
Ballots Cast - Total,,247,,
Ballots Cast - Blank,,0,,
Voter Turnout - Total,,76.23%,,
STRAIGHT PARTY,,,,
Vote For 1,,,,
,,,TOTAL,
CONSTITUTION,,,0,
UNITED UTAH,,,0,
LIBERTARIAN,,,0,
REPUBLICAN,,,89,
GREEN,,,0,
DEMOCRATIC,,,3,
INDEPENDENT AMERICAN,,,3,
Total Votes Cast,,,95,
,Contest Totals,,247,
Summary Results Report,,,OFFICIAL RESULTS,
General Election,,,,
6-Nov-18,,,DUCHESNE COUNTY,
AL11 Altamont - County,,,,
UNITED STATE SENATE,,,,
Vote For 1,,,,
,,TOTAL,,
CON TIM AALDERS,,15,,
LIB CRAIG R BOWDEN,,3,,
IAP REED C MCCANDLESS,,1,,
DEM JENNY WILSON,,12,,
REP MITT ROMNEY,,215,,
Write-In Totals,,0,,
,   Write-In: Glade G Fitzgerald,0,,
,   Write-In: Caleb Dan Reeve,0,,
,   Write-In: Hektor Reiksthegn,0,,
,   Write-In: Abe Korb,0,,
,   Write-In: Ryan Daniel Jackson,0,,
,   Write-In: Cody Judy,0,,
,   Write-In: Tyrone Jensen,0,,
,  Not Assigned,0,,
Total Votes Cast,,246,,
,Contest Totals,247,,
U.S. HOUSE DISTRICT 1,,,,
Vote For 1,,,,
,,TOTAL,,
DEM LEE CASTILLO,,14,,
REP ROB BISHOP,,218,,
UUP ERIC ELIASON,,8,,
GRN ADAM DAVIS,,2,,
Total Votes Cast,,242,,
,Contest Totals,247,,
Summary Results Report,,,OFFICIAL RESULTS,
General Election,,,,
6-Nov-18,,,DUCHESNE COUNTY,
AL11 Altamont - County,,,,
STATE SENATE DISTRICT 26,,,,
Vote For 1,,,,
,,TOTAL,,
UUP CATHY CALLOW-HEUSSER,,7,,
REP RONALD WINTERTON,,223,,
DEM EILEEN GALLAGHER,,14,,
Total Votes Cast,,244,,
,Contest Totals,247,,
STATE HOUSE DISTRICT 53,,,,
Vote For 1,,,,
,,TOTAL,,
REP LOGAN WILDE,,224,,
DEM CHRISTOPHER NEVILLE,,11,,
Total Votes Cast,,235,,
,Contest Totals,247,,
COMMISSION SEAT A,,,,
Vote For 1,,,,
,,TOTAL,,
REP GREGORY TODD,,231,,
Total Votes Cast,,231,,
,Contest Totals,247,,
COMMISSION SEAT B,,,,
Vote For 1,,,,
,,TOTAL,,
REP GREGORY MILES,,237,,
Total Votes Cast,,237,,
,Contest Totals,247,,
Summary Results Report,,,OFFICIAL RESULTS,
General Election,,,,
6-Nov-18,,,DUCHESNE COUNTY,
AL11 Altamont - County,,,,
ATTORNEY,,,,
Vote For 1,,,,
,,TOTAL,,
REP STEPHEN D FOOTE,,232,,
Total Votes Cast,,232,,
,Contest Totals,247,,
CLERK-AUDITOR,,,,
Vote For 1,,,,
,,TOTAL,,
REP JOANN EVANS,,187,,
Write-In Totals,,50,,
,   Write-In: Mindi Crowley,50,,
,  Not Assigned,0,,
Total Votes Cast,,237,,
,Contest Totals,247,,
SHERIFF,,,,
Vote For 1,,,,
,,TOTAL,,
REP TRAVIS LANE TUCKER,,230,,
Total Votes Cast,,230,,
,Contest Totals,247,,
Summary Results Report,,,OFFICIAL RESULTS,
General Election,,,,
6-Nov-18,,,DUCHESNE COUNTY,
AL11 Altamont - County,,,,
JUSTICE OF THE SUPREME COURT CONSTANDINOS (DENO) HIMONAS,,,,
Vote For 1,,,,
,,TOTAL,,
YES,,169,,
NO,,44,,
Total Votes Cast,,213,,
,Contest Totals,247,,
JUDGE OF THE COURT OF APPEALS MARY KATE A. TOOMEY,,,,
Vote For 1,,,,
,,TOTAL,,
YES,,180,,
NO,,36,,
Total Votes Cast,,216,,
,Contest Totals,247,,
EIGHTH JUDICIAL DISTRICT COURT JUDGE EDWIN T. PETERSON,,,,
Vote For 1,,,,
,,TOTAL,,
YES,,189,,
NO,,30,,
Total Votes Cast,,219,,
,Contest Totals,247,,
Summary Results Report,,,OFFICIAL RESULTS,
General Election,,,,
6-Nov-18,,,DUCHESNE COUNTY,
AL11 Altamont - County,,,,
CONSTITUTIONAL AMENDMENT A,,,,
Vote For 1,,,,
,,TOTAL,,
FOR,,158,,
AGAINST,,83,,
Total Votes Cast,,241,,
,Contest Totals,247,,
CONSTITUTIONAL AMENDMENT B,,,,
Vote For 1,,,,
,,TOTAL,,
FOR,,66,,
AGAINST,,169,,
Total Votes Cast,,235,,
,Contest Totals,247,,
CONSTITUTIONAL AMENDMENT C,,,,
Vote For 1,,,,
,,TOTAL,,
FOR,,132,,
AGAINST,,105,,
Total Votes Cast,,237,,
,Contest Totals,247,,
Summary Results Report,,,OFFICIAL RESULTS,
General Election,,,,
6-Nov-18,,,DUCHESNE COUNTY,
AL11 Altamont - County,,,,
NONBINDING OPINION QUESTION #1,,,,
Vote For 1,,,,
,,TOTAL,,
FOR,,49,,
AGAINST,,190,,
Total Votes Cast,,239,,
,Contest Totals,247,,
PROPOSITION #2,,,,
Vote For 1,,,,
,,TOTAL,,
FOR,,80,,
AGAINST,,164,,
Total Votes Cast,,244,,
,Contest Totals,247,,
PROPOSITION #3,,,,
Vote For 1,,,,
,,TOTAL,,
FOR,,73,,
AGAINST,,166,,
Total Votes Cast,,239,,
,Contest Totals,247,,
Summary Results Report,,,OFFICIAL RESULTS,
General Election,,,,
6-Nov-18,,,DUCHESNE COUNTY,
AL11 Altamont - County,,,,
PROPOSITION #4,,,,
Vote For 1,,,,
,,TOTAL,,
FOR,,52,,
AGAINST,,180,,
Total Votes Cast,,232,,
,Contest Totals,247,,
Summary Results Report,,,,OFFICIAL RESULTS
General Election,,,,
6-Nov-18,,,,DUCHESNE COUNTY
AL12 Altamont - City,,,,
STATISTICS,,,,
,,TOTAL,,
Registered Voters - Total,,93,,
Ballots Cast - Total,,61,,
Ballots Cast - Blank,,0,,
Voter Turnout - Total,,65.59%,,
STRAIGHT PARTY,,,,
Vote For 1,,,,
,,,TOTAL,
CONSTITUTION,,,0,
UNITED UTAH,,,0,
LIBERTARIAN,,,0,
REPUBLICAN,,,15,
