Summary Results Report,,,OFFICIAL RESULTS
GENERAL ELECTION,,,
"November 6, 2018",,,Box Elder
Bear River East,,,
STATISTICS,,,
,TOTAL,,
Registered Voters - Total,280,,
Ballots Cast - Total,217,,
Ballots Cast - Blank,0,,
Voter Turnout - Total,77.50%,,
STRAIGHT PARTY,,,
Vote For 1,,,
,,TOTAL,
CONSTITUTION PARTY,,3,
UNITED UTAH,,0,
LIBERTARIAN,,0,
REPUBLICAN,,45,
GREEN,,0,
DEMOCRATIC,,5,
INDEPENDENT AMERICAN,,8,
U.S. SENATE,,,
Vote For 1,,,
,,TOTAL,
CON TIM AALDERS,,13,
LIB CRAIG R. BOWDEN,,6,
IAP REED C. McCANDLESS,,6,
DEM JENNY WILSON,,31,
REP MITT ROMNEY,,159,
Write-In Totals,,0,
Summary Results Report,,OFFICIAL RESULTS
GENERAL ELECTION,,
"November 6, 2018",,Box Elder
Bear River East,,
U.S. REP CONGRESSIONAL DISTRICT 1,,
Vote For 1,,
,TOTAL,
DEM LEE CASTILLO,24,
REP ROB BISHOP,172,
UUP ERIC ELIASON,16,
GRN ADAM DAVIS,0,
UT SENATE 17,,
Vote For 1,,
,TOTAL,
REP SCOTT SANDALL,177,
DEM MICHAEL A KEIL,27,
UTAH STATE HOUSE OF REPRESENTATIVES DISTRICT 1,,
Vote For 1,,
,TOTAL,
REP JOEL FERRY,149,
DEM JOSHUA HARDY,28,
CON SHERRY PHIPPS,14,
ST BOE DIST 1,,
Vote For 1,,
,TOTAL,
JENNIE L. EARL,116,
TERRYL WARNER,49,
Summary Results Report,,OFFICIAL RESULTS
GENERAL ELECTION,,
"November 6, 2018",,Box Elder
Bear River East,,
COMMISSION A,,
Vote For 1,,
,TOTAL,
REP JEFF HADFIELD,182,
COMMISSION B,,
Vote For 1,,
,TOTAL,
REP JEFFREY D. SCOTT,175,
DEM SETH DURFEE,28,
BEC ATTORNEY,,
Vote For 1,,
,TOTAL,
REP STEPHEN R. HADFIELD,187,
BEC AUDITOR,,
Vote For 1,,
,TOTAL,
REP TOM KOTTER,191,
BEC CLERK,,
Vote For 1,,
,TOTAL,
REP MARLA R. YOUNG,189,
BEC SHERIFF,,
Vote For 1,,
,TOTAL,
REP KEVIN POTTER,190,
Summary Results Report,,OFFICIAL RESULTS
GENERAL ELECTION,,
"November 6, 2018",,Box Elder
Bear River East,,
JUSTICE OF UTAH SUPREME COURT HIMONAS,,
Vote For 1,,
,TOTAL,
YES,142,
NO,46,
JUSTICE OF THE COURT OF APPEALS TOOMEY,,
Vote For 1,,
,TOTAL,
YES,148,
NO,41,
FIRST DISTRICT JUVENILE COURT JUDGE FONNESBECK,,
Vote For 1,,
,TOTAL,
YES,150,
NO,42,
FIRST DISTRICT COURT JUDGE ALLEN,,
Vote For 1,,
,TOTAL,
YES,149,
NO,42,
FIRST DISTRICT COURT JUDGE MAYNARD,,
Vote For 1,,
,TOTAL,
YES,150,
NO,42,
Summary Results Report,,OFFICIAL RESULTS
GENERAL ELECTION,,
"November 6, 2018",,Box Elder
Bear River East,,
CONSTITUTIONAL AMENDMENT A,,
Vote For 1,,
,TOTAL,
FOR,151,
AGAINST,57,
CONSTITUTIONAL AMENDMENT B,,
Vote For 1,,
,TOTAL,
FOR,61,
AGAINST,147,
CONSTITUTIONAL AMENDMENT C,,
Vote For 1,,
,TOTAL,
FOR,108,
AGAINST,95,
GAS TAX QUESTION,,
Vote For 1,,
,TOTAL,
FOR,45,
AGAINST,170,
PROPOSITION #2,,
Vote For 1,,
,TOTAL,
FOR,83,
AGAINST,131,
Summary Results Report,,OFFICIAL RESULTS
GENERAL ELECTION,,
"November 6, 2018",,Box Elder
Bear River East,,
PROPOSITION #3,,
Vote For 1,,
,TOTAL,
FOR,81,
AGAINST,133,
PROPOSITION #4,,
Vote For 1,,
,TOTAL,
FOR,79,
AGAINST,130,
Summary Results Report,,,OFFICIAL RESULTS
GENERAL ELECTION,,,
"November 6, 2018",,,Box Elder
Bear River,,,
STATISTICS,,,
,TOTAL,,
Registered Voters - Total,518,,
Ballots Cast - Total,387,,
Ballots Cast - Blank,0,,
Voter Turnout - Total,74.71%,,
STRAIGHT PARTY,,,
Vote For 1,,,
,,TOTAL,
CONSTITUTION PARTY,,0,
UNITED UTAH,,0,
LIBERTARIAN,,2,
REPUBLICAN,,100,
GREEN,,1,
DEMOCRATIC,,5,
INDEPENDENT AMERICAN,,8,
U.S. SENATE,,,
Vote For 1,,,
,,TOTAL,
CON TIM AALDERS,,16,
LIB CRAIG R. BOWDEN,,15,
IAP REED C. McCANDLESS,,9,
DEM JENNY WILSON,,40,
REP MITT ROMNEY,,305,
Write-In Totals,,1,
Summary Results Report,,OFFICIAL RESULTS
GENERAL ELECTION,,
"November 6, 2018",,Box Elder
Bear River,,
U.S. REP CONGRESSIONAL DISTRICT 1,,
Vote For 1,,
,TOTAL,
DEM LEE CASTILLO,27,
REP ROB BISHOP,301,
UUP ERIC ELIASON,46,
GRN ADAM DAVIS,8,
UT SENATE 17,,
Vote For 1,,
,TOTAL,
REP SCOTT SANDALL,336,
DEM MICHAEL A KEIL,44,
UTAH STATE HOUSE OF REPRESENTATIVES DISTRICT 1,,
Vote For 1,,
,TOTAL,
REP JOEL FERRY,248,
DEM JOSHUA HARDY,60,
CON SHERRY PHIPPS,22,
ST BOE DIST 1,,
Vote For 1,,
,TOTAL,
JENNIE L. EARL,211,
TERRYL WARNER,94,
Summary Results Report,,OFFICIAL RESULTS
GENERAL ELECTION,,
"November 6, 2018",,Box Elder
Bear River,,
COMMISSION A,,
Vote For 1,,
,TOTAL,
REP JEFF HADFIELD,351,
COMMISSION B,,
Vote For 1,,
,TOTAL,
REP JEFFREY D. SCOTT,327,
DEM SETH DURFEE,45,
BEC ATTORNEY,,
Vote For 1,,
,TOTAL,
REP STEPHEN R. HADFIELD,345,
BEC AUDITOR,,
Vote For 1,,
,TOTAL,
REP TOM KOTTER,351,
BEC CLERK,,
Vote For 1,,
,TOTAL,
REP MARLA R. YOUNG,352,
BEC SHERIFF,,
Vote For 1,,
,TOTAL,
REP KEVIN POTTER,355,
Summary Results Report,,OFFICIAL RESULTS
GENERAL ELECTION,,
"November 6, 2018",,Box Elder
Bear River,,
