Summary Results Report,,,OFFICIAL RESULTS
PRIMARY ELECTION,,,
"June 26, 2018",,,Box Elder County
Bear River East,,,
STATISTICS,,,
,TOTAL,,
Registered Voters - Total,256,,
Registered Voters - REPUBLICAN,175,,
Registered Voters - DEMOCRATIC,12,,
Registered Voters - NONPARTISAN,69,,
Ballots Cast - Total,97,,
Ballots Cast - REPUBLICAN,92,,
Ballots Cast - DEMOCRATIC,5,,
Ballots Cast - NONPARTISAN,0,,
Ballots Cast - Blank,0,,
Voter Turnout - Total,37.89%,,
Voter Turnout - REPUBLICAN,52.57%,,
Voter Turnout - DEMOCRATIC,41.67%,,
Voter Turnout - NONPARTISAN,0.00%,,
REP US SENATE,,,
Vote For 1,,,
,,TOTAL,
MITT ROMNEY,,61,
MIKE KENNEDY,,31,
REP UT SENATE 17,,,
Vote For 1,,,
,,TOTAL,
SCOTT SANDALL,,58,
CLARK N. DAVIS,,33,
Summary Results Report,,OFFICIAL RESULTS
PRIMARY ELECTION,,
"June 26, 2018",,Box Elder County
Bear River East,,
REP COMMISSION A,,
Vote For 1,,
,TOTAL,
CHARLES M. YOUNG,45,
JEFF HADFIELD,45,
REP COMMISSION B,,
Vote For 1,,
,TOTAL,
JON E. ADAMS,50,
JEFFREY D. SCOTT,38,
DEM US HOUSE DIST 1,,
Vote For 1,,
,TOTAL,
LEE CASTILLO,4,
KURT WEILAND,1,
Summary Results Report,,,OFFICIAL RESULTS
PRIMARY ELECTION,,,
"June 26, 2018",,,Box Elder County
Bear River,,,
STATISTICS,,,
,TOTAL,,
Registered Voters - Total,495,,
Registered Voters - REPUBLICAN,328,,
Registered Voters - DEMOCRATIC,7,,
Registered Voters - NONPARTISAN,160,,
Ballots Cast - Total,201,,
Ballots Cast - REPUBLICAN,194,,
Ballots Cast - DEMOCRATIC,7,,
Ballots Cast - NONPARTISAN,0,,
Ballots Cast - Blank,0,,
Voter Turnout - Total,40.61%,,
Voter Turnout - REPUBLICAN,59.15%,,
