"1" ,999999 ,"Election Total" ,"Race Statistics" ,"" ,"NP" ,"Number of Precincts" ,"" ,"NP" ,7 ,
"1" ,999999 ,"Election Total" ,"Race Statistics" ,"" ,"NP" ,"Number of Precincts Reporting" ,"" ,"NP" ,7 ,
"1" ,999999 ,"Election Total" ,"STRAIGHT PARTY" ,"" ,"NP" ,"Number of Precincts for Race" ,"" ,"NP" ,7 ,
"1" ,999999 ,"Election Total" ,"STRAIGHT PARTY" ,"" ,"NP" ,"Number of Precincts Reporting" ,"" ,"NP" ,7 ,
"1" ,999999 ,"Election Total" ,"STRAIGHT PARTY" ,"" ,"NP" ,"Registered Voters" ,"" ,"NP" ,4260 ,
"1" ,999999 ,"Election Total" ,"STRAIGHT PARTY" ,"" ,"NP" ,"DEMOCRATIC" ,"" ,"DEM" ,202 ,
"1" ,999999 ,"Election Total" ,"STRAIGHT PARTY" ,"" ,"NP" ,"REPUBLICAN" ,"" ,"REP" ,509 ,
"1" ,999999 ,"Election Total" ,"STRAIGHT PARTY" ,"" ,"NP" ,"LIBERTARIAN" ,"" ,"LIB" ,6 ,
"1" ,999999 ,"Election Total" ,"STRAIGHT PARTY" ,"" ,"NP" ,"CONSTITUTION" ,"" ,"CON" ,11 ,
"1" ,999999 ,"Election Total" ,"U.S. PRESIDENT" ,"30001" ,"NP" ,"Number of Precincts for Race" ,"" ,"NP" ,7 ,
"1" ,999999 ,"Election Total" ,"U.S. PRESIDENT" ,"30001" ,"NP" ,"Number of Precincts Reporting" ,"" ,"NP" ,7 ,
"1" ,999999 ,"Election Total" ,"U.S. PRESIDENT" ,"30001" ,"NP" ,"Registered Voters" ,"" ,"NP" ,4260 ,
"1" ,999999 ,"Election Total" ,"U.S. PRESIDENT" ,"30001" ,"NP" ,"BARACK OBAMA" ,"30008" ,"DEM" ,542 ,
"1" ,999999 ,"Election Total" ,"U.S. PRESIDENT" ,"30001" ,"NP" ,"JOHN McCAIN" ,"30005" ,"REP" ,1902 ,
"1" ,999999 ,"Election Total" ,"U.S. PRESIDENT" ,"30001" ,"NP" ,"BOB BARR" ,"30003" ,"LIB" ,12 ,
"1" ,999999 ,"Election Total" ,"U.S. PRESIDENT" ,"30001" ,"NP" ,"CHUCK BALDWIN" ,"30002" ,"CON" ,30 ,
"1" ,999999 ,"Election Total" ,"U.S. PRESIDENT" ,"30001" ,"NP" ,"RALPH NADER" ,"30007" ,"NP" ,21 ,
